Console,GameName,Score
PC,Warframe Review (2019) - Space Oddity,8
NS,Marvel Ultimate Alliance 3: The Black Order Review - Superpowered,8
PC,Night Call Review - The Full Fare,8
"PC, PS4",Final Fantasy XIV: Shadowbringers Review - Dancer In The Dark,9
NS,Dragon Quest Builders 2 Review - Building On A Strong Foundation,8
PS4,SolSeraph Review - Play God,6
PC,198X Review,5
PC,Weedcraft Inc Review - I Got 5 On It,5
PC,They Are Billions Review - Everyone's Invited,8
PS4,Sea Of Solitude Review - Adrift,7
NS,Super Mario Maker 2 Review - Make My Day,8
NS,Bloodstained: Ritual Of The Night Nintendo Switch Review - Less Lively,6
"PC, PS4",Bloodstained: Ritual Of The Night Review - Not Dead Yet,8
PS4,Samurai Shodown Review - Life Or Death,8
PC,F1 2019 Review - Pole Position,9
PS4,Judgment Review - Like A Tiger,7
PS4,The Sinking City Review - Draining,3
PC,Imperator: Rome Review,5
PC,Mordhau Review - Medieval Times,8
NS,Cadence Of Hyrule Review - Groove is in the Heart,8
"PC, NS",My Friend Pedro Review - Vote For Pedro,7
PS4,Crash Team Racing Nitro-Fueled Review - Back With A Bang,8
PC,Outer Wilds Review - Extraterrestrial Investigation,9
"NS, PC",Octopath Traveler Review: Divide And Conquer,8
3DS,Persona Q2 Review - You Oughta Be In Pictures,7
"PC, PS4",Observation Review - Space Madness,8
"PS4, PC",Dauntless Review - Whole New World,7
PC,Void Bastards Review - Genres Collide,8
PS4,Trover Saves The Universe Review - Couch Potatoes,7
PS4,Blood and Truth Review - On The Move,7
"PC, XONE",Pathologic 2 Review - The Big Sick,5
PC,Anno 1800 Review - The Prettiest Spreadsheet,7
"PC, XONE, PS4, NS",Mortal Kombat 11 Review - The Right Fight,9
PC,Total War: Three Kingdoms Review - The New Romantics,8
NS,Travis Strikes Again: No More Heroes Review - Short On Heroics,6
"PS4, XONE, PC",A Plague Tale: Innocence Review - Of Rats And Children,8
XONE,Layers of Fear 2 Review - Ghost Ship,5
PS4,Everybody's Golf VR Review - A Short Date To The Golf Course,6
"XONE, PS4",Team Sonic Racing Review - Gotta Go-Kart Fast,7
"PC, PS4",Metro Exodus Review - Brand New Days,8
PC,Whispers of a Machine Review - Hushed Greatness,7
PS4,"Darkwood Review - Welcome To The Forest, Meat",9
PC,Rage 2 Review - Wasted Land,6
"PS4, PC, XONE",Life Is Strange 2: Episode 3 Review - Choosing Sides,8
PC,World War Z Review - Zombie Zeitgeist,6
XONE,Giga Wrecker Alt Review - Hunk Of Junk,4
PS4,Yakuza Kiwami 2 Review - Like A Tiger,8
PS4,"Days Gone Review - Farewell, Oregon",5
NS,BoxBoy! + BoxGirl! Review - Hip To Be Square,7
NS,SteamWorld Quest Review - Letting Off Some Steam,7
PC,Katana Zero Review - Slow-Motion For Me,8
"XONE, PC, NS",Cuphead Review - Rise To The Challenge,8
PS4,Falcon Age Review - High Flying,8
PC,Pathway Review - Pulp Friction,6
"PC, PS4",Heaven's Vault Review - Come Sail Away,6
"PS4, XONE, NS, PC",My Time At Portia Review - Crop Circles,6
"PS4, PC, XONE, NS",Hellblade: Senua's Sacrifice Review - The Power Of Empathy,8
PS4,Zanki Zero: Last Beginning Review - Attack Of The Clones,6
PS4,MLB The Show 19 Review - Bases Loaded,9
PC,Tropico 6 Review - World Stage,8
"PC, XONE, PS4",The Division 2 Review - National Treasure,9
PC,The World Next Door Review - Anime Angst,6
PC,"Operencia: The Stolen Sun Review - A Journey Far, Far Away",8
PS4,Sekiro: Shadows Die Twice Review - Steel Yourself,9
PC,The Walking Dead: The Final Season Episode 4 Review,9
NS,Yoshi's Crafted World Review - Imagination,8
